"ID","Name","Event ID","Title","Date Created","Date Modified","Permalink","Description","Start Date","End Date","Category","Category Slug","Hosts"
"33","Deep Dive: Circularity","","Deep Dive: Circularity","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>The Ellen MacArthur Foundation, the leading organization in the world on circular economics, joins us to<span style=\"font-weight: 400;\"> introduce the circular economy and demonstrate how it applies to everything we do. Circularity is based on a regene","2022-10-11 08:00:00","2022-10-11 09:00:00","Deep Dive Training","deep-dive-training",""
"34","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-10-13 17:00:00","2022-10-13 18:00:00","Office Hours","office-hours",""
"35","Workshop: Circular Exhibitions with Marije Remigius","","Workshop: Circular Exhibitions with Marije Remigius","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p><span style=\"font-weight: 400;\">Exhibitions can be made sustainable by applying circular principles. Circular solutions to the exhibition design, materials, and building processes are all readily available and can be implemented anywhere, by anyone. In","2022-10-18 17:00:00","2022-10-18 18:00:00","Workshop","workshop",""
"36","Global Network Meeting: Guest Speaker Dilshanie Perera","","Global Network Meeting: Guest Speaker Dilshanie Perera","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Join us in welcoming Dilshanie Perera from the Climate Museum NY who is graciously joining us to talk about her work at the Climate Museum and the incredible programming this inspirational institution has been running.</p>","2022-10-25 08:00:00","2022-10-25 09:00:00","Global Network Meeting","global-network-meeting",""
"37","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-10-27 00:00:00","2022-10-27 01:00:00","Office Hours","office-hours",""
"38","Core Training: Exhibitions","","Core Training: Exhibitions","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Exhibitions are key to many of our organizations &#8211; whether they are permanent, temporary, or pop-up, onsite or off, our exhibitions are an incredible way for us to connect with our communities and with each other. And they present an amazing oppo","2022-11-01 17:00:00","2022-11-01 18:00:00","Core Training","core-training",""
"39","Social: Historians and Archaeologists","","Social: Historians and Archaeologists","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>Each first Wednesday of the month, we are inviting everyone to get together during this informal gathering with different themes. This month’s theme is historians and archaeologists.</p>","2022-11-03 00:00:00","2022-11-03 01:00:00","Social","social",""
"40","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-11-08 11:00:00","2022-11-08 12:00:00","Regional Network Meeting","regional-network-meeting",""
"41","Office Hours","","Office Hours","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-11-10 08:00:00","2022-11-10 09:00:00","Office Hours","office-hours",""
"42","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-11-10 15:00:00","2022-11-10 16:00:00","Regional Network Meeting","regional-network-meeting",""
"43","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-11-10 18:00:00","2022-11-10 19:00:00","Regional Network Meeting","regional-network-meeting",""
"44","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-13 11:25:10","2022-07-26 05:56:35","","","2022-11-11 11:00:00","2022-11-11 12:00:00","Regional Network Meeting","regional-network-meeting",""
"45","Deep Dive: Degrowth with Filka Sekulova","","Deep Dive: Degrowth with Filka Sekulova","2022-07-13 11:25:10","2022-07-26 05:56:35","","<p><span style=\"font-weight: 400;\">This training focuses on the idea of degrowth that critiques the capitalist system which pursues growth at all costs, instead prioritizing social and environmental wellbeing. Degrowth theories are based on the need to re","2022-11-15 09:00:00","2022-11-15 10:00:00","Deep Dive Training","deep-dive-training",""
